subj,legitpresence,overall_duration_mean,mean_total_time,overall_count_mean,overall_amplitude_mean,mean_total_distance
1,0,218.415011,11066.11479,38.82857143,200.0560522,9756.033277
1,1,218.1107766,19192.18784,59.32142857,202.1534966,16889.26337
2,0,221.1321586,8519.524229,28.375,178.4216815,6871.381845
2,1,222.3339806,7699.662136,17.75862069,194.7762332,6500.905467
3,0,195.9830986,18100.29408,46.71052632,133.1688412,11357.5133
3,1,204.6649573,27385.95556,73.125,129.0532082,15723.58063
4,0,167.2934331,6982.32419,33.41666667,165.3228748,6841.614537
4,1,181.8636898,11552.80846,44.78947368,165.2294934,9905.748134
5,0,282.9595016,16299.2648,35.66666667,202.9063128,10870.29188
5,1,266.5797546,8130.104294,19.17647059,226.7283559,6225.240768
6,0,191.520979,5039.98951,17.875,204.4987098,5251.231345
6,1,196.8584906,8137.867925,35.33333333,203.3680284,8221.785679
7,0,169.336333,11663.52081,50.8,184.0352392,12067.35693
7,1,174.1926397,21956.38619,75.89655172,180.888969,21627.40386
8,0,183.009901,5891.217822,21.26315789,206.1214281,6538.164907
8,1,175.379661,4599.081356,21.85185185,204.5226378,5255.790513
9,0,185.5172414,22670.3026,83.58823529,168.0228678,19831.13259
9,1,191.4710665,20574.07556,90.91304348,173.9846849,18650.21521
10,0,179.5457627,5726.349153,25.65217391,216.1623133,6824.27586
10,1,181.2762763,5033.417417,21.48387097,218.117578,6026.330511
11,0,205.1314574,27148.72995,74.40625,189.2989199,22430.20741
11,1,209.303908,20950.96,80.55555556,199.98087,19668.20432
12,0,193.0609037,12121.75639,36.35714286,163.7025935,9164.320623
12,1,185.5940741,8101.591111,20.45454545,177.0110432,6756.258963
13,0,192.2745098,8736.766013,27.32142857,194.1992455,8132.259263
13,1,190.7814815,7190.955556,30,187.4451297,7024.239277
14,0,199.9313525,16479.91701,52.75675676,174.8135383,13792.80756
14,1,198.9731183,14772.37276,50.72727273,175.705311,12544.91195
15,0,174.3735499,5762.213457,23.94444444,209.334181,6731.532809
15,1,179.4780652,6882.859393,31.75,209.2699982,7808.040418
16,0,223.5152603,13368.06822,46.41666667,179.8789422,10737.51549
16,1,215.9107143,14816.76531,50.58064516,179.7562699,12341.80423
17,0,202.1133603,6564.672065,25.55172414,172.3801889,5531.899828
17,1,208.3864836,7958.844773,32.65517241,167.8865917,6279.320787
18,0,202.5319516,10258.54922,28.95,194.2885952,9770.345638
18,1,201.0381078,6352.144547,23.78125,198.243284,6158.471082
19,0,233.3585685,13031.03923,45.40625,176.1339124,9664.668218
19,1,227.2800587,12771.55279,44,183.7036966,10369.66802
20,0,171.8255675,6314.396655,23.25,177.9044103,6155.990352
20,1,177.1891348,8482.496982,38.23076923,180.1692848,8430.915698
21,0,221.8395245,8086.282318,21.03125,225.2814689,8190.27259
21,1,214.3005008,5457.415693,18.15151515,242.5419382,6099.311643
22,0,205.3410283,9283.502623,31.76666667,177.1957968,7768.421122
22,1,201.6988968,14698.35172,55.03571429,161.287031,11241.22655
23,0,203.5178317,22176.12649,70.1,185.5134489,18910.68978
23,1,192.94,13763.02429,53.84615385,191.139511,13084.17461
24,0,191.9970282,8499.274889,24.03571429,233.2670465,10188.15654
24,1,194.9225092,6745.350554,22.58333333,227.6390996,8060.307535
25,0,223.0950324,12339.42765,35.61538462,184.0909525,9909.350941
25,1,223.8061574,8528.063854,31.32142857,175.2104496,6602.775911
26,0,216.5337143,16374.39771,51.47058824,171.61765,12969.73333
26,1,215.8705036,22233.2259,77.22222222,168.9428709,17350.59891
27,0,191.5323944,5952.016901,27.30769231,186.819713,5847.803639
27,1,178.9056604,4165.499142,20.10344828,201.7825715,4568.54438
28,0,182.2347949,6905.770863,28.28,233.5495646,8617.422136
28,1,173.5864198,4660.765432,19.63636364,247.2675276,6375.00332
29,0,195.1082927,8132.435122,32.03125,191.5022709,7907.135893
29,1,205.2253408,10944.3753,41.56666667,186.162936,9895.083851
30,0,197.0214918,5935.683944,21.97222222,178.3966538,5166.168743
30,1,205.4197689,10149.66367,41,169.6069538,8287.993881
31,0,204.6257669,10883.90798,26.08,160.0743086,7256.171736
31,1,197.8639053,9798.195266,30.72727273,160.6789008,7603.98084
32,0,225.4102079,10566.93006,35.26666667,175.0685849,8428.584296
32,1,199.1038108,7017.910644,26.24137931,182.1497317,6052.136028
33,0,202.7150997,12016.32194,46.8,181.1894587,10546.14005
33,1,192.0517504,6516.870624,20.53125,188.4393184,6032.039791
34,0,191.061651,6981.143156,27.34285714,202.349056,7163.138603
34,1,204.3823529,15024.13824,43.87096774,199.7282627,14467.68489
35,0,220.2170543,5555.496124,14.33333333,173.2331106,3903.501846
35,1,233.8166667,7404.308333,15,158.5068283,4081.512273
36,0,179.7731385,12000.47042,46.35483871,222.2380944,13840.40741
36,1,173.0450281,11265.31332,42.64,224.0022754,13225.61942
37,0,184.8801262,6360.053628,25.36,229.1309636,8012.219373
37,1,192.6840052,6996.283485,25.63333333,218.8001997,7948.887701
38,0,290.1832061,9326.473282,13.1,192.1630314,4576.882083
38,1,255.849711,2461.225434,6.653846154,272.9810197,2514.941589
39,0,214.0317003,5706.481268,22.38709677,188.3030134,5013.44882
39,1,205.4111543,7473.483787,30.84,197.9219353,7263.662151
40,0,231.8322981,7052.130435,16.1,200.9179962,5754.342985
40,1,247.4724409,9305.779528,25.4,196.2748819,7186.830188
41,0,189.1721557,14674.92365,63.61904762,164.1654914,12529.78927
41,1,187.8334206,15286.32268,59.65625,161.6580896,12905.57127
42,0,217.1183879,8730.828715,29.40740741,189.4852012,7550.926295
42,1,211.7956778,8210.127701,29.94117647,204.2237595,7926.617605
43,0,201.2898273,5649.666027,21.70833333,169.7759658,4690.248286
43,1,199.5261324,6372.874564,22.07692308,166.2623378,4986.374624
44,0,209.6426983,10483.34766,37.47222222,223.7914202,10794.02611
44,1,215.2264026,15299.49439,63.125,217.8395049,15470.3017
45,0,204.0908354,10993.35766,39.77419355,182.0647994,9351.618532
45,1,191.3130755,9400.06814,40.22222222,182.0879322,8587.59783
46,0,201.308311,15002.84718,51.44827586,186.8011926,13919.46571
46,1,202.0682806,12737.51459,51.96774194,195.48573,12188.26797
47,0,232.9788235,14245.71529,42.5,187.0225433,11481.10159
47,1,223.2073171,11672.76423,30.75,188.254553,8887.924319
48,0,214.6049822,9247.734282,25.54545455,171.4319764,7193.35559
48,1,225.5984064,14145.77211,44.82142857,161.8595032,9574.613273
49,0,211.6618357,13431.27053,41.4,168.9283104,10078.29069
49,1,205.0625,15253.93071,50.75862069,170.7269159,12119.16494
50,0,223.4818402,10140.20339,37.54545455,181.7117351,8073.588936
50,1,224.1056604,14717.79371,41.84210526,188.049633,12078.23191
51,0,238.6261181,10693.81038,37.26666667,241.6501733,10454.69153
51,1,231.0561224,14596.30442,42,242.599468,14706.12861
52,0,196.5252294,16109.66743,62.28571429,175.0174005,14125.17904
52,1,208.4217547,64498.15906,59.06060606,201.0577718,59784.64792
53,0,194.3716679,21832.68241,72.94444444,162.2732951,18216.30594
53,1,195.6256831,18264.61885,69.71428571,164.4549479,15182.21937
54,0,194.1761589,14527.17351,60.4,220.0556807,15780.16336
54,1,195.5672625,15530.81656,66.4375,206.2056584,16411.79643
55,0,212.2665639,12074.23421,40.5625,190.9275855,9967.363606
55,1,211.002449,11984.44898,45.37037037,183.1258699,10162.03875
56,0,219.4043355,10502.91046,31.20588235,195.5056511,8895.517907
56,1,218.9685864,13189.637,44.07692308,189.0400937,10915.8368
57,0,222.5526734,17670.89254,55.55882353,197.4743891,15294.54277
57,1,216.343857,24391.8547,93.89285714,191.5809577,21190.15189
58,0,222.6163457,21929.95731,68.60714286,220.0980253,20921.43617
58,1,215.3634312,16710.4684,61.10344828,209.5048466,15920.63109
59,0,187.5982533,1849.021834,7.896551724,245.2446442,2381.600855
59,1,193.8852459,3021.901639,11.61904762,268.2841183,4278.397374
60,0,204.7213647,18504.28838,72.41176471,168.8236373,14805.88578
60,1,202.2924668,24164.73412,93.37931034,170.9645188,19985.00637
61,0,209.7006135,17025.55828,35.43478261,210.2717837,15425.1951
61,1,211.4135338,9952.66416,30.69230769,237.432284,11323.76864
62,0,192.7679649,18841.43609,75.95833333,187.0331182,17957.85958
62,1,192.393039,16402.66299,69.29411765,183.9679473,15536.81547
63,0,249.3145161,12074.3871,38.75,172.3493546,7914.52353
63,1,255.9925994,13253.24514,40.03703704,170.1961745,8384.77369
64,0,231.326087,3199.978261,7.076923077,266.8066677,3073.874538
64,1,225.8757764,2343.180124,6.708333333,269.09877,2432.508449
65,0,210.0931298,19467.67328,52.4,202.9904287,19815.04208
65,1,197.3660996,12100.862,49.59375,181.5282175,11003.56456
66,0,214.2641829,14645.52413,49.20833333,166.8042285,11247.52076
66,1,216.5534247,12809.47534,47.09677419,161.0392706,9211.920402
67,0,218.9672233,16548.29314,47.55882353,207.8228518,14352.48333
67,1,219.1933884,17044.60496,51.85714286,205.0586228,15612.91497
68,0,202.9808375,16619.72463,52.18518519,171.0258408,13524.27821
68,1,198.5367047,12563.30343,43.78571429,174.842907,10720.58012
69,0,229.4473684,5389.286184,17.37142857,237.8140042,5529.254608
69,1,237.9117647,6286.156863,19.42857143,211.0127827,5418.083107
70,0,177.9405034,4425.098398,16.18518519,195.3028298,4527.149312
70,1,177.9410526,5311.802105,18.26923077,191.4773008,5346.625962
71,0,221.8383518,12246.56101,26.29166667,174.6680459,8388.625556
71,1,214.8875256,10029.5092,25.73684211,180.1846159,7632.552878
72,0,211.2438443,14945.34392,37.02941176,183.126008,12309.69164
72,1,217.1164122,14589.00382,52.4,175.8567398,11499.03758
73,0,209.4809052,15061.03536,50.5,188.3396901,13103.30454
73,1,212.1037684,17413.716,65.39285714,180.4737993,14513.80583
74,0,181.9371147,15031.28977,52.32258065,150.7468656,11460.76658
74,1,178.9026738,17027.58717,64.48275862,156.9046384,13969.57296
75,0,239.4577295,21144.7971,57.10344828,179.5278014,14506.62891
75,1,230.493841,25457.16013,68.69230769,169.0289648,17228.76888
76,0,202.8396652,11457.76948,45.67647059,159.3328895,8794.289578
76,1,210.5800402,15667.53918,67.86363636,146.1670613,10590.4158
77,0,193.1394482,14597.03952,44.7,209.6821708,14459.01764
77,1,195.3805436,11561.12876,46.6,212.3836691,11956.57871
